Microsoft (R) COFF/PE Dumper Version 8.00.50727.762
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    498C18A2 time date stamp Fri Feb 06 12:01:54 2009
        0.00 version
           1 ordinal base
        1316 number of functions
        1316 number of names

    ordinal hint RVA      name

          8    0 0001EB78 CsrAllocateCaptureBuffer
          9    1 0001EBD9 CsrAllocateMessagePointer
         10    2 0001E3CF CsrCaptureMessageBuffer
         11    3 0002064D CsrCaptureMessageMultiUnicodeStringsInPlace
         12    4 0002070E CsrCaptureMessageString
         13    5 00051C6A CsrCaptureTimeout
         14    6 00012D91 CsrClientCallServer
         15    7 00021207 CsrClientConnectToServer
         16    8 0001EB1F CsrFreeCaptureBuffer
         17    9 00051C5F CsrGetProcessId
         18    A 00051BDA CsrIdentifyAlertableThread
         19    B 0001B0AA CsrNewThread
         20    C 00051CEB CsrProbeForRead
         21    D 00051C9D CsrProbeForWrite
         22    E 00051C16 CsrSetPriorityClass
         23    F 0000120E DbgBreakPoint
         24   10 0002FB6F DbgPrint
         25   11 0001EAF5 DbgPrintEx
         26   12 00059EB2 DbgPrintReturnControlC
         27   13 00059FA1 DbgPrompt
         28   14 00059FE7 DbgQueryDebugFilterState
         29   15 00059FF7 DbgSetDebugFilterState
         30   16 00051D21 DbgUiConnectToDbg
         31   17 00051DCC DbgUiContinue
         32   18 00051EF4 DbgUiConvertStateChangeStructure
         33   19 00051EB2 DbgUiDebugActiveProcess
         34   1A 00051D76 DbgUiGetThreadDebugObject
         35   1B 00051E71 DbgUiIssueRemoteBreakin
         36   1C 00051E13 DbgUiRemoteBreakin
         37   1D 00051D88 DbgUiSetThreadDebugObject
         38   1E 00051DF1 DbgUiStopDebugging
         39   1F 00051DA5 DbgUiWaitStateChange
         40   20 00001212 DbgUserBreakPoint
         41   21 0000E510 KiFastSystemCall
         42   22 0000E514 KiFastSystemCallRet
         43   23 0000E520 KiIntSystemCall
         44   24 0000E4C8 KiRaiseUserExceptionDispatcher
         45   25 0000E450 KiUserApcDispatcher
         46   26 0000E460 KiUserCallbackDispatcher
         47   27 0000E47C KiUserExceptionDispatcher
         48   28 000209B8 LdrAccessOutOfProcessResource
         49   29 000127A8 LdrAccessResource
         50   2A 0002CB05 LdrAddRefDll
         51   2B 0004888F LdrAlternateResourcesEnabled
         52   2C 000201C3 LdrCreateOutOfProcessImage
         53   2D 000202DD LdrDestroyOutOfProcessImage
         54   2E 0001D6FB LdrDisableThreadCalloutsForDll
         55   2F 0005A110 LdrEnumResources
         56   30 00021405 LdrEnumerateLoadedModules
         57   31 0001FE25 LdrFindCreateProcessManifest
         58   32 0005A07B LdrFindEntryForAddress
         59   33 0001C26D LdrFindResourceDirectory_U
         60   34 0005AE3E LdrFindResourceEx_U
         61   35 00012787 LdrFindResource_U
         62   36 0002ED52 LdrFlushAlternateResourceModules
         63   37 000166A0 LdrGetDllHandle
         64   38 000166C1 LdrGetDllHandleEx
         65   39 00017EA8 LdrGetProcedureAddress
         66   3A 000521DE LdrHotPatchRoutine
