Microsoft (R) COFF/PE Dumper Version 8.00.50727.762
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    49E02292 time date stamp Sat Apr 11 06:54:42 2009
        0.00 version
           1 ordinal base
        1809 number of functions
        1809 number of names

    ordinal hint RVA      name

          1    0 0001B590 A_SHAFinal
          2    1 0001A330 A_SHAInit
          3    2 0001B510 A_SHAUpdate
          4    3 00011FD0 AlpcAdjustCompletionListConcurrencyCount
          5    4 00012C80 AlpcFreeCompletionListMessage
          6    5 0009B010 AlpcGetCompletionListLastMessageInformation
          7    6 000A7030 AlpcGetCompletionListMessageAttributes
          8    7 00075EC0 AlpcGetHeaderSize
          9    8 00048EB0 AlpcGetMessageAttribute
         10    9 00012AB0 AlpcGetMessageFromCompletionList
         11    A 0009AFF0 AlpcGetOutstandingCompletionListMessageCount
         12    B 00075E80 AlpcInitializeMessageAttribute
         13    C 00011250 AlpcMaxAllowedMessageLength
         14    D 00012010 AlpcRegisterCompletionList
         15    E 00012770 AlpcRegisterCompletionListWorkerThread
         16    F 0009AFD0 AlpcUnregisterCompletionList
         17   10 00012810 AlpcUnregisterCompletionListWorkerThread
         18   11 0002FAD0 CsrAllocateCaptureBuffer
         19   12 0003C200 CsrAllocateMessagePointer
         20   13 0003FE80 CsrCaptureMessageBuffer
         21   14 00040EF0 CsrCaptureMessageMultiUnicodeStringsInPlace
         22   15 00040FE0 CsrCaptureMessageString
         23   16 0009C740 CsrCaptureTimeout
         24   17 0004A460 CsrClientCallServer
         25   18 0003BFF0 CsrClientConnectToServer
         26   19 0002FBB0 CsrFreeCaptureBuffer
         27   1A 0009C760 CsrGetProcessId
         28   1B 0003E1F0 CsrIdentifyAlertableThread
         29   1C 0009C310 CsrSetPriorityClass
         30   1D 000A4AD0 CsrVerifyRegion
         31   1E 00046060 DbgBreakPoint
         32   1F 00012560 DbgPrint
         33   20 00043840 DbgPrintEx
         34   21 000BBF30 DbgPrintReturnControlC
         35   22 0009AF80 DbgPrompt
         36   23 0009AF70 DbgQueryDebugFilterState
         37   24 0009AF60 DbgSetDebugFilterState
         38   25 000A4A60 DbgUiConnectToDbg
         39   26 000A49C0 DbgUiContinue
         40   27 000A4790 DbgUiConvertStateChangeStructure
         41   28 000B2780 DbgUiDebugActiveProcess
         42   29 000A4A40 DbgUiGetThreadDebugObject
         43   2A 000B2710 DbgUiIssueRemoteBreakin
         44   2B 000D0000 DbgUiRemoteBreakin
         45   2C 000A4A20 DbgUiSetThreadDebugObject
         46   2D 000A49A0 DbgUiStopDebugging
         47   2E 000A49F0 DbgUiWaitStateChange
         48   2F 00046070 DbgUserBreakPoint
         49   30 000BE6B0 EtwCreateTraceInstanceId
         50   31 000DEB40 EtwDeliverDataBlock
         51   32 000AF830 EtwEnumerateProcessRegGuids
         52   33 000BE520 EtwEventActivityIdControl
         53   34 00026D70 EtwEventEnabled
         54   35 0009D010 EtwEventProviderEnabled
         55   36 0002F1E0 EtwEventRegister
         56   37 00032550 EtwEventUnregister
         57   38 00039DB0 EtwEventWrite
